pair,window_id,train_end,test_start,test_end,train_rows,test_rows,mae,rmse,dir_acc,accuracy,precision,recall,f1
GBPJPY,1,2020-12-31,2021-01-03,2021-02-11,9605,180,0.001118,0.001576,0.5444,0.5444,0.5684,0.5684,0.5684
GBPJPY,2,2021-02-11,2021-02-12,2021-03-24,9785,180,0.001583,0.002115,0.4778,0.4833,0.5493,0.39,0.4561
GBPJPY,3,2021-03-24,2021-03-25,2021-05-04,9965,180,0.00119,0.001534,0.5222,0.5222,0.5534,0.5876,0.57
GBPJPY,4,2021-05-04,2021-05-05,2021-06-14,10145,180,0.000904,0.001312,0.5222,0.5222,0.5676,0.4375,0.4941
GBPJPY,5,2021-06-14,2021-06-15,2021-07-25,10325,180,0.001465,0.002022,0.6111,0.6167,0.6374,0.617,0.627
GBPJPY,6,2021-07-25,2021-07-26,2021-09-03,10505,180,0.000958,0.001344,0.55,0.55,0.5679,0.5,0.5318
GBPJPY,7,2021-09-03,2021-09-03,2021-10-14,10685,180,0.001328,0.001759,0.5667,0.5667,0.6545,0.3789,0.48
GBPJPY,8,2021-10-14,2021-10-14,2021-11-24,10865,180,0.001358,0.002029,0.55,0.55,0.5888,0.63,0.6087
GBPJPY,9,2021-11-24,2021-11-24,2022-01-04,11045,180,0.001414,0.001871,0.5111,0.5111,0.5867,0.4356,0.5
GBPJPY,10,2022-01-04,2022-01-04,2022-02-14,11225,180,0.001468,0.001939,0.5,0.5,0.5556,0.3608,0.4375
GBPJPY,11,2022-02-14,2022-02-14,2022-03-25,11405,180,0.001719,0.002352,0.5778,0.5778,0.5926,0.5275,0.5581
GBPJPY,12,2022-03-25,2022-03-25,2022-05-05,11585,180,0.002088,0.003017,0.4778,0.4833,0.5422,0.45,0.4918
GBPJPY,13,2022-05-05,2022-05-05,2022-06-15,11765,180,0.002221,0.003059,0.6056,0.6056,0.6883,0.53,0.5989
GBPJPY,14,2022-06-15,2022-06-15,2022-07-26,11945,180,0.002259,0.002999,0.5667,0.5722,0.5529,0.5465,0.5497
GBPJPY,15,2022-07-26,2022-07-26,2022-09-05,12125,180,0.001843,0.002627,0.5167,0.5167,0.5541,0.4316,0.4852
GBPJPY,16,2022-09-05,2022-09-05,2022-10-14,12305,180,0.003393,0.005395,0.5611,0.5611,0.6032,0.413,0.4903
GBPJPY,17,2022-10-14,2022-10-14,2022-11-24,12485,180,0.002223,0.003249,0.5111,0.5111,0.4944,0.5057,0.5
GBPJPY,18,2022-11-24,2022-11-24,2023-01-04,12665,180,0.002261,0.003509,0.5,0.5,0.4634,0.4524,0.4578
GBPJPY,19,2023-01-04,2023-01-04,2023-02-14,12845,180,0.002118,0.003137,0.4778,0.4778,0.4423,0.561,0.4946
GBPJPY,20,2023-02-14,2023-02-14,2023-03-27,13025,180,0.002265,0.003271,0.5333,0.5333,0.5714,0.5,0.5333
GBPJPY,21,2023-03-27,2023-03-27,2023-05-05,13205,180,0.001795,0.00255,0.5667,0.5667,0.6316,0.5825,0.6061
GBPJPY,22,2023-05-05,2023-05-05,2023-06-15,13385,180,0.001418,0.00192,0.5389,0.5389,0.5657,0.5833,0.5744
GBPJPY,23,2023-06-15,2023-06-15,2023-07-26,13565,180,0.00149,0.002002,0.5167,0.5167,0.5,0.5862,0.5397
GBPJPY,24,2023-07-26,2023-07-26,2023-09-05,13745,180,0.001561,0.002559,0.5278,0.5278,0.6026,0.4653,0.5251
GBPJPY,25,2023-09-05,2023-09-05,2023-10-16,13925,180,0.001232,0.001654,0.5611,0.5611,0.5464,0.6023,0.573
GBPJPY,26,2023-10-16,2023-10-16,2023-11-24,14105,180,0.001361,0.001863,0.5111,0.5167,0.5275,0.5217,0.5246
GBPJPY,27,2023-11-24,2023-11-24,2024-01-08,14285,180,0.00191,0.002577,0.5333,0.5333,0.5208,0.5682,0.5435
GBPJPY,28,2024-01-08,2024-01-08,2024-02-16,14465,180,0.001165,0.001652,0.5056,0.5056,0.5385,0.6429,0.586
GBPJPY,29,2024-02-16,2024-02-16,2024-03-28,14645,180,0.001242,0.001654,0.5333,0.5333,0.5612,0.5729,0.567
GBPJPY,30,2024-03-28,2024-03-28,2024-05-08,14825,180,0.001536,0.002721,0.5333,0.5389,0.6064,0.5534,0.5787
GBPJPY,31,2024-05-08,2024-05-08,2024-06-18,15005,180,0.001146,0.001644,0.5333,0.5389,0.568,0.71,0.6311
GBPJPY,32,2024-06-18,2024-06-18,2024-07-29,15185,180,0.00141,0.002316,0.5722,0.5722,0.6098,0.7212,0.6608
GBPJPY,33,2024-07-29,2024-07-29,2024-09-06,15365,180,0.002654,0.004009,0.4889,0.4889,0.4432,0.4756,0.4588
GBPJPY,34,2024-09-06,2024-09-06,2024-10-17,15545,180,0.002071,0.003021,0.55,0.55,0.5965,0.6602,0.6267
GBPJPY,35,2024-10-17,2024-10-17,2024-11-27,15725,180,0.00183,0.002464,0.5722,0.5722,0.5526,0.7079,0.6207
GBPJPY,36,2024-11-27,2024-11-27,2025-01-08,15905,180,0.001877,0.0026,0.5278,0.5333,0.5789,0.5556,0.567
GBPJPY,37,2025-01-08,2025-01-09,2025-02-18,16085,180,0.001981,0.002681,0.5167,0.5167,0.5042,0.6818,0.5797
GBPJPY,38,2025-02-18,2025-02-19,2025-03-31,16265,180,0.001994,0.002703,0.55,0.55,0.5521,0.5824,0.5668
GBPJPY,39,2025-03-31,2025-04-01,2025-05-11,16445,180,0.001918,0.002974,0.6167,0.6167,0.5604,0.6375,0.5965
GBPJPY,40,2025-05-11,2025-05-12,2025-06-20,16625,180,0.001501,0.00199,0.4889,0.4889,0.4715,0.6824,0.5577
GBPJPY,41,2025-06-20,2025-06-20,2025-07-31,16805,180,0.001242,0.00173,0.5056,0.5056,0.5172,0.6452,0.5742
GBPJPY,42,2025-07-31,2025-07-31,2025-09-10,16985,180,0.001212,0.001718,0.4889,0.4944,0.5204,0.5368,0.5285
GBPJPY,43,2025-09-10,2025-09-10,2025-10-21,17165,180,0.001109,0.001716,0.5278,0.5278,0.5347,0.587,0.5596
GBPJPY,44,2025-10-21,2025-10-21,2025-12-01,17345,180,0.001258,0.001663,0.5389,0.55,0.55,0.6044,0.5759
GBPJPY,45,2025-12-01,2025-12-01,2026-01-12,17525,180,0.001029,0.001365,0.5222,0.5222,0.54,0.5745,0.5567
GBPJPY,46,2026-01-12,2026-01-12,2026-02-20,17705,180,0.001642,0.002328,0.5056,0.5056,0.5424,0.6465,0.5899
GBPJPY,47,2026-02-20,2026-02-20,2026-04-02,17885,180,0.00128,0.001665,0.4667,0.4667,0.4828,0.4516,0.4667
GBPJPY,48,2026-04-02,2026-04-02,2026-04-10,18065,34,0.00095,0.001269,0.3824,0.3824,0.4,0.2105,0.2759
